x,y
0,0
0,0
0,0
0.041196841194072256,2.174701561527114e-05
0.09106000364820059,2.9578259653572152e-05
0.1411262909405828,3.936312782124249e-05
0.1910024878012616,5.19021256313493e-05
0.2410563656587126,6.740422442882082e-05
0.29423912211413217,8.742785221898733e-05
0.3442915332014764,0.00011010112442225883
0.3908881273801698,0.00013437467156614396
0.4409085287694318,0.00016470181441636928
0.49083426345229225,0.00019834588943984117
0.5408358230349085,0.00023705951630266538
0.5907805174118169,0.00027923293259684304
0.6407632448891505,0.00032707126271835885
0.6907292500256801,0.0003784048410379323
0.7406937031391606,0.00043593666690532274
0.7906793064398808,0.0004970721852854008
0.8406271574304406,0.0005650576458487939
0.8906295934652209,0.0006366538213070395
0.9405637109428027,0.0007154060361325553
0.9971447766493451,-0.007928177823331377
0.9967700428175863,0.025412979309936277
0.9956872765672191,0.0721509593127879
0.9945089521261439,0.12194305543100319
0.9932961043476968,0.17198454315888445
0.9919842150969467,0.2250722543681283
0.9907996236266372,0.2718130166989243
0.9895197986896273,0.3216011840002109
0.9881975276283255,0.37163707787536704
0.9868661540947963,0.42142766454181274
0.9854896414491667,0.4714574652037779
0.9841062988775244,0.5212529025785043
0.982581313666106,0.574575420372407
0.9812404302659132,0.6210762897224049
0.9797569216755116,0.6710819806110252
0.9782686356788578,0.7208984573253228
0.9767326108861921,0.7708875955251093
0.9751916639316257,0.8207168385503726
0.9736026706419086,0.8706930915717256
0.9720092398564254,0.9205311048401837
0.9703673037611715,0.9704952711380639
0.97606417366083,1.027675717538056
0.9465250605637994,1.0269059013627937
0.8965745634128734,1.0248081083286527
0.8434622155674385,1.0225412185543976
0.7968161993031448,1.020526593475218
0.7470012444256332,1.0183494397313049
0.6970634876944153,1.0161322983339747
0.6439497427242307,1.0137512161270716
0.5973161786561936,1.0116249992321298
0.5474920295503722,1.009339945322758
0.4975721821854138,1.00700492245524
0.44774619004125155,1.0046655689071193
0.39783349380888566,1.0022718224733205
0.34800573424486114,0.9998775575428797
0.2980987414299334,0.9974254841322255
0.24827182929967712,0.9949761244194688
0.19836867884254414,0.9924658570775633
0.14854406868468145,0.989960992019455
0.09534926616094656,0.987223270977246
0.048818017253146835,0.9848320069537839
-0.005188282367717154,0.9912227343305348
-0.0011329544642830146,0.9506901605648684
0.003879312024785504,0.9011369950618474
0.008943212396598961,0.8513397437932204
0.014005810694247087,0.8017774485856433
0.01912001467384368,0.7519984277255398
0.024232842794460575,0.7024269935951204
0.029738641871509607,0.6493783467368628
0.034560394683007964,0.6030862962582392
0.03977430006457271,0.5533481702393539
0.04498874577204193,0.5037539796568373
0.050251760580555915,0.45403785970976657
0.055516816427280305,0.4044323774649641
